epoch,burn_tokens,burn_usd,sma_burns,g_growth,share_T2,share_T3,nodes_T2,nodes_T3,hours_T2,hours_T3,avg_nodes_T2,avg_nodes_T3,avg_hours_per_wallet_T2,avg_hours_per_wallet_T3,avg_hpw_T2,avg_hpw_T3,r2,r3,x2,x3,anchor_prelogic,policy
75,9192.173344110006,43373.013921968915,9542.681621011667,-0.20275345874086248,0.7761535020271662,0.22384649797283387,58.0,128.0,0.0,0.0,59.0,124.5,0.0,0.0,0.0,0.0,-0.07692307692307687,-0.07031736154324819,0.0,0.0,7607.869916688691,25100.0
76,13461.071005920006,53900.08823864283,9939.294798814168,-0.01269170837566369,0.8334015551166708,0.16659844488332923,57.0,126.0,857456700.0,1005205800.0,58.5,125.41666666666667,15043100.0,7977823.80952381,1253591.6666666667,664818.6507936508,-0.08355091383812019,-0.053459119496855334,inf,inf,9813.148167767868,25100.0
77,11788.513371349994,45088.561420565115,10199.781376280835,0.13262028625242572,0.7366749446263761,0.263325055373624,57.0,124.0,672196400.0,1266288000.0,58.083333333333336,124.83333333333333,11792919.298245614,10212000.0,2236334.941520468,1515818.650793651,-0.08769633507853392,-0.0566750629722923,inf,inf,11552.47930211536,25100.0
78,15249.181211270003,52595.64108455875,10875.6823433025,0.544726233744717,0.8007136236439076,0.19928637635609242,54.0,119.0,802528300.0,1071296400.0,57.583333333333336,124.5,14861635.185185185,9002490.75630252,3474804.5402859002,2266026.2138188607,-0.09198423127463862,-0.05622236260265312,inf,inf,16799.95182557359,25100.0
79,24113.857212199986,71847.82694541223,12227.020796622499,0.6740422734485159,0.8420317006457151,0.15796829935428489,56.0,122.0,1130351050.0,1126395800.0,57.25,124.5,20184840.17857143,9232752.459016394,5156874.555166853,3035422.252070227,-0.09247027741083225,-0.04840764331210201,inf,inf,20468.549691880213,25100.0
80,20267.890381349975,63150.417502655546,13307.157988824998,0.7286264050271334,0.8357809618311322,0.16421903816886782,56.0,119.0,986503700.0,1077894200.0,57.0,123.91666666666667,17616137.5,9057934.453781513,6624886.013500187,3790250.123218687,-0.0916334661354582,-0.04679487179487174,inf,inf,23003.104675350656,25100.0
81,30677.34081706002,96904.7221570925,14376.509796605,0.6177184920663525,0.8035836959956794,0.1964163040043207,55.0,123.0,1463912650.0,1683462000.0,56.75,123.66666666666667,26616593.636363637,13686682.92682927,8842935.483197154,4930807.033787792,-0.08835341365461846,-0.04258064516129023,inf,inf,23257.145749340983,25100.0
82,6465.677139529993,22422.781133829056,14137.809501484997,0.5413494969254624,0.728785676260812,0.271214323739188,56.0,123.0,348004650.0,828768000.0,56.583333333333336,124.0,6214368.75,6737951.219512195,9360799.545697154,5492302.968747142,-0.08243243243243237,-0.02935420743639927,inf,inf,21791.305562741923,25100.0
83,5281.052988879999,22262.288511212857,14020.934200217496,0.49667975842892265,0.8201169028635668,0.17988309713643322,55.0,125.0,357676750.0,489220000.0,56.25,123.83333333333333,6503213.636363637,3913760.0,9902734.015394125,5818449.635413808,-0.08038147138964569,-0.02493438320209973,inf,inf,20984.84841172934,25100.0
84,9660.524947250005,39628.74234546508,13819.342543493332,0.5202968506871395,0.801073806863129,0.19892619313687107,55.0,122.0,624843950.0,847964000.0,56.0,123.58333333333333,11360799.090909092,6950524.590163934,10849467.272969883,6397660.017927471,-0.07692307692307687,-0.020475561426684386,inf,inf,21009.502947439716,25100.0
85,11065.771566489988,39941.09297209674,13769.113491999162,0.4448122298512782,0.816941082578716,0.1830589174212841,55.0,122.0,641514950.0,712316400.0,55.833333333333336,123.25,11663908.181818182,5838659.016393443,11821459.62145473,6884214.9359602565,-0.07073509015256585,-0.01727574750830574,inf,inf,19893.783567450628,25100.0
86,8054.028869770001,30202.1841766975,13773.090237931663,0.43376202632959804,0.8176149923864531,0.1823850076135469,55.0,120.0,479207750.0,607627600.0,55.75,122.75,8712868.181818182,5063563.333333333,12547531.96993958,7306178.5470713675,-0.06302521008403361,-0.016688918558077415,inf,inf,19747.333768357308,25100.0
87,15343.927794779998,59896.25029103613,14285.736442154164,0.49703584479848373,0.7549891019336894,0.2450108980663106,56.0,118.0,810340550.0,1587120400.0,55.583333333333336,121.91666666666667,14470366.964285715,13450172.881355932,13753395.883630058,8427026.287184363,-0.057909604519774005,-0.020749665327978506,inf,inf,21386.259523248744,25100.0
88,18227.422254350007,65780.57095891994,14682.93237952333,0.47726098045458065,0.7772655976878441,0.22273440231215588,68.0,145.0,974018700.0,1435209400.0,56.5,123.5,14323804.411764706,9897995.862068966,13693454.584610447,8587040.62489646,-0.03418803418803418,-0.015282392026578107,9.923377163970548,11.916365409793146,20827.14372303902,25100.0
89,46808.130339970056,165179.60510999936,17601.233793575,0.7256481432539263,0.8081068912026755,0.1918931087973244,84.0,171.0,2509243100.0,2506131800.0,58.75,127.41666666666667,29871941.666666668,14655741.520467836,15200039.78197887,8957352.41826878,0.011477761836441891,0.020694259012016047,5.796852966776289,4.90925069669706,31254.812679568877,25100.0
90,12804.023396370001,44188.87755997651,17397.470642333337,0.5996670455391802,0.8147015518474665,0.18529844815253352,90.0,171.0,2416511800.0,2374127600.0,61.75,131.75,26850131.111111112,13883787.134502923,16199081.109139362,9364127.116452144,0.0723589001447178,0.05823293172690769,3.661868292541868,3.132400172313578,30078.186100542105,25100.0
91,4937.12702627,18984.91096866097,15799.409793505836,0.292171662770881,0.7473405286276047,0.2526594713723954,91.0,173.0,1809021850.0,2527094600.0,64.66666666666667,136.0,19879360.98901099,14607483.23699422,16173624.510009326,9812021.347950296,0.1295487627365357,0.09236947791164662,2.136323045478081,2.232506232455229,22682.445603069802,25100.0
92,3159.020633060001,12351.907855877143,14373.670647815006,0.08014578769453529,0.7375184364322682,0.2624815635677317,91.0,172.0,667371400.0,1142853400.0,67.58333333333333,140.41666666666666,7333751.648351648,6644496.511627907,15316759.022371963,9610901.519437497,0.185672514619883,0.1331540013449899,1.3120034052147442,1.535690576345369,17905.574181402797,25100.0
93,4178.32528938,14823.238763055984,12165.419353841671,-0.15379883393433058,0.7584569418497151,0.24154305815028487,89.0,170.0,401962050.0,707152400.0,70.41666666666667,144.33333333333334,4516427.528089887,4159720.0,13475078.513349151,8816987.942201724,0.2408223201174744,0.1671159029649596,0.5238241349779982,0.7881429716848221,12264.344337905128,25100.0
94,6483.146365589998,15881.394393285933,12166.875122680007,-0.13940875201338432,0.7638653586666526,0.2361346413333474,87.0,174.0,303613700.0,545208000.0,73.0,148.58333333333334,3489812.643678161,3133379.3103448274,13248032.171155667,8516606.94977111,0.2901325478645065,0.198252688172043,0.4152671581612217,0.5506440555506804,12985.74514754389,25100.0
95,10055.975307899987,30780.87820215601,12564.785315931671,-0.10385533970077665,0.8210669896510197,0.17893301034898043,88.0,174.0,655590450.0,854325400.0,75.75,152.66666666666666,7449891.4772727275,4909916.091954023,13326921.991231425,8599619.957433945,0.3466666666666667,0.2328398384925976,0.34578208104088093,0.47799164662226046,14485.527053005793,25100.0
96,9624.726594060003,24632.707414713335,12561.802119832502,-0.09099857100314279,0.794323806501611,0.20567619349838895,86.0,173.0,519673350.0,696736800.0,78.33333333333333,156.91666666666666,6042713.372093023,4027380.3468208094,12883748.181330085,8356024.603822019,0.3988095238095237,0.26972353337828725,0.18750053409796097,0.3061063858358892,15202.716623200798,25100.0
97,10109.57063522,25142.283469,12482.118708893338,-0.09346969097565061,0.7753266759570683,0.2246733240429316,85.0,173.0,716125300.0,1074448400.0,80.83333333333333,161.16666666666666,8425003.529411765,6210684.393063583,12613839.460296215,8387026.718544531,0.4477611940298507,0.3076402974983097,0.0670289341769097,0.21829820779334108,15497.233759502107,25100.0
