wallet,tier,newer_node
dsfryhyc3hwdpyygxgw2gybprdpieevjrargg8f8wswd,T3,False
dufvxp9kpcf7re8zjkt5qbxv6f3ftjss8tjwahmqvrpu,T2,False
dvaaevah7irpctuzgnppj6raxkv4cc6mcunc6mhescdu,T3,False
dx3uraq2hbspacsx8raczty36wht3medamu9ovtreega,T2,False
dxkyxqmmqsdqhyawv2vxpv6ntvncjczrmx4yxfwnfjr6,T3,False
dyjcjdgepmw86bfg6heucw7fu5wxr4h4j2h5fgaroh6q,T3,False
dykmrkzpvqhbs45v1fxxm62zs1bedvjtvhxfa6rd1uzg,T3,False
dzdjzkgskjuqgcfijuelx34arwzcmxefss1tsgefhko9,T2,False
dzyislagsrn7yqf7sdpsbfzhmj9wqf1lztldupn6e8n,T3,False
e16imrwyt8vpzwwusbjc2dxbwrg37ecqmeo5sx758gus,T3,False
e33tfbuyirkkfugfbt1duryf2ftrphs6g83dxkc2vzbf,T3,False
e92enfmywhbesfzgjedpjobc2zcaq7vchxtxu5nzj11g,T3,False
e9hjy2pc91rsxu8nqvwubbbp7hqjqlndk1w5srkrsuwq,T3,False
eeedgwrlhc554yl2eujtrssszfe8zehdhtecujzji9d8,T3,False
ehhyziczsnqwgml29r5zx1wdvhsnzwjrkcyucu9ijwcz,T3,False
eigulbm8bowgz8f2je9ygddgcct5t6cckrfczbab53pf,T2,False
einrzxvcsmfnqu7bhvp2xcxljymbe1deepfzrkq4l8c,T3,False
em6cgfwyeu2guduftl3qdrxbfxzmm7dhjssxnz4uyghe,T3,False
emafxnricm2yeeylcv4vdjrndqqphohygghscwctzjpc,T2,False
en2wm3dyngoafcnjsbbjmwb96hvregrynzxrlmxcghtx,T2,False
evemvk48hccnrn5n646xoh81ixpvonxlsjk3glhm3fay,T3,False
ew8u7sadjugxqx6ezatmnkjkgkggb4jtgfqzx6mcrxdn,T3,False
exhhzv9m8d4lvvyd4f7dnjewsylp9qnldjkb22knrzkt,T2,False
exkgqz4mkqz12wlvyee9tgsbnz4lpx1i6zg149nwmsws,T2,False
f1t5rtgeodpvzi56qgvvbwvatn7zvu1xf5hyoqkp9djb,T3,False
f7xkvnifewgj3cfrsx98zavjbatyulseq9adybnfrk26,T3,False
fbm8agzypmbbb77ywjb4lfpbsxbjdmza7skbo9mqht8d,T3,False
fdlpw73n8wb2jvyk98ysqlynhwvsegkdztsumtcqjp1,T3,False
ff3vet3swrdag8zc4y5r2sdgdjip5n7dcnxybhhmrzes,T2,False
fg2hlmsqhvmntu26xukf6cxxtelavemaz2zbpfvtsftj,T2,False
fg8ib3kazzzjmxw8xwihhvhejtjbovpkdjir2djaakzl,T3,False
fhvawg4wnw8nesprclqwmbw1bkeef1nobxlcosfasytt,T2,False
fic6uwwgccs9xuvvbbkxlx7meqalbq4jpm6tbmjxfosj,T3,False
fj9cttpgnasndfurhfgs7yxxno7maha7euqlcrkxdisp,T2,False
fk3b5tnqk4je8vhvoysigsbz52rfv82dcmwxuqphu6qx,T3,False
fkktpm1anme6qyknwngrxx3qxyxwdwwvgxaepxvhy8ur,T3,False
fofy3mtspjjql3pdkx8rurgarub8i8jucs7xwquojett,T2,False
ftwekt8mmjbhtm2dey1uckc5e5wx6xmzm9grsdjpmyad,T3,False
fu4xyz6v2xyw71arykzufsbsd9dgavfnxklhouuelfaw,T3,False
fuhxafpqkraper2ykcvkkc6acjwythycn3cep1qcchzo,T3,False
fvdcdsbu3yqkgm1uhcumztvtbajfu1k8phmbykhucpfh,T3,False
fvwn7hp565i6vmsufezykm5mbepdrxs7gufmcpa3at9w,T2,False
fw1uq67wxqu9fzfwjwtcnbpb8ftcwgt5myntziks1p3h,T3,False
fzfape1rkx7qe95g4mpzvqbug91vxqy8qe4r6tlb8iqn,T3,False
g5qoovxxbzw3pfsmds9fmtqcair8d3ryeskjhv9rhxkz,T3,False
g8jjb42fo6hpmkntpcsdropkdmrechndcfhpefsfsfgz,T3,False
gawr4wmfot142aq9st9aqrf8babm3nfqwujco69wsais,T2,False
gdpkebjap3mxreetjaotndkjs1qutfrsfwzhgu446wdm,T2,False
gepezyrhh9khlrf5vbyisid4rmcbunc2ca5qced2vmo8,T3,False
gfoybb6fug3r8nkf3iyzqnrlrkgwj61xafnqfhpqlthd,T2,False
gftkvzmzgf5mw8rqqd3hkqjs8hvvxuh9eyfvjprevygd,T2,False
gge4mjhp3khn63vs8b1mmt5w3sgymph6r6jtqqhlngv7,T3,False
gkgkhc8fh2mcbtwm2ws9zsqkxraxpwvnyeum9s8nujqw,T3,False
gkwlnremch3u2wktjv5e9ysjtn6ieggbyqhtfeuppxfw,T2,False
gpaxj2bvidk72n4dz5o1vasatvhtl6p3bnqlyxbhxdes,T3,False
gsuzgryvyxmgfabbwb9cuknbq1ppc6zqgsrikh4gbqck,T3,False
gw4nncuqq7bqclw82vatfzgafb1ehpnulyzqtwsd9wzm,T2,False
h2kxrhdvr4dnhgqvm3va1f5kiucrwmbf5erruqaqisgp,T3,False
h3bbyjuwx3z8p58wkveq7sjyca8yzbujoftioa2yksrg,T3,False
h79n6ckhmcswysn4pspksgvw7zmmpo1fgo21fuv8vutz,T3,False
h8p8nqeoe8fmecqyqdxken1aelyyankhjccdm999wcn2,T3,False
ha8awyxhemb8twc3v4saqnu8oz9xfptafnvnwkdi6sbf,T2,False
hca4pcntuux8sbtdfb7cdmntt7lsbexpjtsxced9kb5t,T3,False
heawkeanrueycdgzbutmsvpwe3g1rymqlasxujekfngp,T2,False
hfmhmjbakj911azuy98ogdrtcg1tipqemtotmvkscuxg,T3,False
hi2vwegaxunvynrtdrzbppx96fjeebo2a2rxmgnqhxb,T3,False
hkwkexhsfpgpgcn8cseudie2wrqfmuydxke4waezqggp,T3,False
hnrs7y1euwachwxclv9vypjayecpwth1gxg1meazeqep,T3,False
hoy4sdrjqb73vx26puojmbb9k5qpn3g8bu5pfuc4omgm,T3,False
hpnbzkmt691ydahqz62bfgqeyqgfwdpvsvgmyrr8ulrp,T3,False
hr3wezjdyyjlwdhh76yeljz1wzkhd2a6ieymrjbh4cgn,T3,False
hrq9m73motksjzu7mlcwzzumpgfqhsqlttaqbdvthn7y,T2,False
htz3tmotbbjpavqnr1tzhuacfnz2mpsd5pm7muwkm1xw,T3,False
hwdtsxxtubpajqju2ixsdjv9qgmrtpygq1t8apne267y,T3,False
hwimw5cz27xtvsfutjaftfjvvupabb5ifvnzhmsdtppn,T3,False
hwlgns6anmniurlgjkrjetwjefc35rkwgnke5omhetj8,T3,False
j2ak3utu9x3hghgnh3csmtkpuzdexu4pgezw9qeteefu,T2,False
j7pbyusnfxfs3age1eejphlmxwcjz8ccrzn1czycm8g1,T2,False
jaxjop7ito4gjpi2ajytqsvve9v9esegvgyqzsxmafgx,T3,False
jd7rqyrrpeunndqpjzlgt2y4cgfsafhke8nyb92lpshx,T3,False
jdecmu2m24pgb4zmlzfr4smdssz6bcck3j77rxyqatat,T3,False
jdr2fmrxrwxslom3wpsdjgqmcv6sjuwxd2etgkrkwegs,T3,False
lvcasihxoduvupg28uefzwlt2k4lzlvnnkwzdp3kihs,T3,False
lvyhg1m1rk7wmhybpjxasujyr9ooasw8shttpbwbzue,T3,False
misqg3g8htfnvjckeameu4vedvfgcdbz3yedx4uzyv6,T2,False
ovaau7wweqybfsc3wgdussjc9rss3kkna7sos8y7lak,T2,False
qlwibprxskhmjx5hqrvfpype7wugyv9apgjf2nfvcor,T3,False
s9kc8qcusuk6pijzeda6ssebzfw7fjmtegmy6aa58yq,T2,False
xom5t6x7v2cztzsyoeutak9khsm9t5hz65jyi5waw7h,T3,False
y7ad9bnt8f1hutz8us2dgyjdhdrhbhecs5benud8d2s,T2,False
